state,district,pincode,total_bio_5_17,total_bio_17,total_updates
Andhra Pradesh,Nalgonda,508278,15,289,304
Andhra Pradesh,Nalgonda,508279,10,180,190
Andhra Pradesh,Nalgonda,508280,38,432,470
Andhra Pradesh,Nalgonda,508284,177,469,646
Andhra Pradesh,Nalgonda,508285,19,134,153
Andhra Pradesh,Nalgonda,508286,11,67,78
Andhra Pradesh,Nalgonda,508355,17,297,314
Andhra Pradesh,Nalgonda,508373,9,258,267
Andhra Pradesh,Nalgonda,508374,51,333,384
Andhra Pradesh,Nalgonda,508376,124,386,510
Andhra Pradesh,Nalgonda,508377,3,64,67
Andhra Pradesh,Nandyal,518010,13,4,17
Andhra Pradesh,Nandyal,518101,40,54,94
Andhra Pradesh,Nandyal,518102,66,36,102
Andhra Pradesh,Nandyal,518112,98,86,184
Andhra Pradesh,Nandyal,518122,167,102,269
Andhra Pradesh,Nandyal,518123,126,63,189
Andhra Pradesh,Nandyal,518124,356,256,612
Andhra Pradesh,Nandyal,518134,286,217,503
Andhra Pradesh,Nandyal,518135,38,10,48
Andhra Pradesh,Nandyal,518145,16,4,20
Andhra Pradesh,Nandyal,518155,38,17,55
Andhra Pradesh,Nandyal,518165,21,7,28
Andhra Pradesh,Nandyal,518166,32,11,43
Andhra Pradesh,Nandyal,518176,37,39,76
Andhra Pradesh,Nandyal,518186,1,1,2
Andhra Pradesh,Nandyal,518196,84,48,132
Andhra Pradesh,Nandyal,518206,19,7,26
Andhra Pradesh,Nandyal,518217,2,0,2
Andhra Pradesh,Nandyal,518220,58,43,101
Andhra Pradesh,Nandyal,518221,193,92,285
Andhra Pradesh,Nandyal,518222,387,256,643
Andhra Pradesh,Nandyal,518225,7,2,9
Andhra Pradesh,Nandyal,518401,482,313,795
Andhra Pradesh,Nandyal,518405,67,41,108
Andhra Pradesh,Nandyal,518411,88,59,147
Andhra Pradesh,Nandyal,518412,87,67,154
Andhra Pradesh,Nandyal,518422,469,411,880
Andhra Pradesh,Nandyal,518432,92,63,155
Andhra Pradesh,Nandyal,518442,28,13,41
Andhra Pradesh,Nandyal,518452,12,8,20
Andhra Pradesh,Nandyal,518464,9,0,9
Andhra Pradesh,Nandyal,518467,1,0,1
Andhra Pradesh,Nandyal,518501,838,650,1488
Andhra Pradesh,Nandyal,518502,260,210,470
Andhra Pradesh,Nandyal,518508,112,45,157
Andhra Pradesh,Nandyal,518510,30,10,40
Andhra Pradesh,Nandyal,518511,83,44,127
Andhra Pradesh,Nandyal,518512,52,27,79
Andhra Pradesh,Nandyal,518513,41,26,67
Andhra Pradesh,Nandyal,518523,29,21,50
Andhra Pradesh,Nandyal,518533,208,202,410
Andhra Pradesh,Nandyal,518543,476,287,763
Andhra Pradesh,Nandyal,518553,152,70,222
Andhra Pradesh,Nandyal,518563,99,55,154
Andhra Pradesh,Nandyal,518573,13,20,33
Andhra Pradesh,Nandyal,518583,126,69,195
Andhra Pradesh,Nandyal,518593,52,43,95
Andhra Pradesh,Nandyal,518594,32,13,45
Andhra Pradesh,Nandyal,518598,67,41,108
Andhra Pradesh,Nandyal,518599,234,125,359
Andhra Pradesh,Nandyal,518674,13,15,28
Andhra Pradesh,Nellore,524001,3220,1648,4868
Andhra Pradesh,Nellore,524002,5716,3488,9204
Andhra Pradesh,Nellore,524003,2056,1207,3263
Andhra Pradesh,Nellore,524004,5919,3047,8966
Andhra Pradesh,Nellore,524005,798,383,1181
Andhra Pradesh,Nellore,524101,2832,2170,5002
Andhra Pradesh,Nellore,524121,2084,1143,3227
Andhra Pradesh,Nellore,524123,1197,618,1815
Andhra Pradesh,Nellore,524124,307,191,498
Andhra Pradesh,Nellore,524126,2447,1424,3871
Andhra Pradesh,Nellore,524127,873,509,1382
Andhra Pradesh,Nellore,524129,795,420,1215
Andhra Pradesh,Nellore,524131,561,417,978
Andhra Pradesh,Nellore,524132,2995,1420,4415
Andhra Pradesh,Nellore,524134,1071,625,1696
Andhra Pradesh,Nellore,524137,2444,1647,4091
Andhra Pradesh,Nellore,524142,1318,666,1984
Andhra Pradesh,Nellore,524152,820,490,1310
Andhra Pradesh,Nellore,524201,5055,2567,7622
Andhra Pradesh,Nellore,524203,497,195,692
Andhra Pradesh,Nellore,524218,1203,732,1935
Andhra Pradesh,Nellore,524221,516,196,712
Andhra Pradesh,Nellore,524222,636,302,938
Andhra Pradesh,Nellore,524223,1307,734,2041
Andhra Pradesh,Nellore,524224,1006,469,1475
Andhra Pradesh,Nellore,524225,433,233,666
Andhra Pradesh,Nellore,524226,959,559,1518
Andhra Pradesh,Nellore,524227,533,250,783
Andhra Pradesh,Nellore,524228,1589,723,2312
Andhra Pradesh,Nellore,524230,867,463,1330
Andhra Pradesh,Nellore,524234,467,231,698
Andhra Pradesh,Nellore,524236,519,322,841
Andhra Pradesh,Nellore,524239,605,340,945
Andhra Pradesh,Nellore,524240,793,467,1260
Andhra Pradesh,Nellore,524301,522,302,824
Andhra Pradesh,Nellore,524302,1028,569,1597
Andhra Pradesh,Nellore,524303,581,379,960
Andhra Pradesh,Nellore,524304,458,250,708
Andhra Pradesh,Nellore,524305,2240,1543,3783
Andhra Pradesh,Nellore,524306,820,707,1527
Andhra Pradesh,Nellore,524307,804,548,1352
Andhra Pradesh,Nellore,524308,1142,1209,2351
Andhra Pradesh,Nellore,524309,1214,829,2043
Andhra Pradesh,Nellore,524310,523,519,1042
Andhra Pradesh,Nellore,524311,939,601,1540
Andhra Pradesh,Nellore,524312,595,285,880
Andhra Pradesh,Nellore,524313,821,466,1287
Andhra Pradesh,Nellore,524314,1543,1157,2700
Andhra Pradesh,Nellore,524315,2457,1268,3725
Andhra Pradesh,Nellore,524316,778,470,1248
Andhra Pradesh,Nellore,524317,578,397,975
Andhra Pradesh,Nellore,524318,114,24,138
Andhra Pradesh,Nellore,524319,4,0,4
Andhra Pradesh,Nellore,524320,1217,686,1903
Andhra Pradesh,Nellore,524321,825,366,1191
Andhra Pradesh,Nellore,524322,1471,803,2274
Andhra Pradesh,Nellore,524323,606,374,980
Andhra Pradesh,Nellore,524341,701,456,1157
Andhra Pradesh,Nellore,524342,315,137,452
Andhra Pradesh,Nellore,524343,1602,1084,2686
Andhra Pradesh,Nellore,524344,1339,739,2078
Andhra Pradesh,Nellore,524345,2299,1411,3710
Andhra Pradesh,Nellore,524346,778,585,1363
Andhra Pradesh,Nellore,524347,2,1,3
Andhra Pradesh,Nellore,524366,518,411,929
Andhra Pradesh,Nellore,524401,741,299,1040
Andhra Pradesh,Nellore,524402,886,583,1469
Andhra Pradesh,Nellore,524403,913,479,1392
Andhra Pradesh,Nellore,524404,1078,582,1660
Andhra Pradesh,Nellore,524405,1601,1416,3017
Andhra Pradesh,Nellore,524406,843,623,1466
Andhra Pradesh,Nellore,524407,1409,891,2300
Andhra Pradesh,Nellore,524408,1132,731,1863
Andhra Pradesh,Nellore,524409,723,648,1371
Andhra Pradesh,Nellore,524410,769,646,1415
Andhra Pradesh,Nellore,524411,993,617,1610
Andhra Pradesh,Nellore,524412,1679,1263,2942
Andhra Pradesh,Nellore,524413,837,459,1296
Andhra Pradesh,Nellore,524414,636,410,1046
Andhra Pradesh,Nellore,524415,762,432,1194
Andhra Pradesh,Nellore,524421,791,461,1252
Andhra Pradesh,Nizamabad,503001,497,1675,2172
Andhra Pradesh,Nizamabad,503002,32,119,151
Andhra Pradesh,Nizamabad,503003,287,824,1111
Andhra Pradesh,Nizamabad,503101,7,20,27
Andhra Pradesh,Nizamabad,503102,8,8,16
Andhra Pradesh,Nizamabad,503108,3,6,9
Andhra Pradesh,Nizamabad,503110,12,14,26
Andhra Pradesh,Nizamabad,503111,56,111,167
Andhra Pradesh,Nizamabad,503114,19,32,51
Andhra Pradesh,Nizamabad,503120,7,11,18
Andhra Pradesh,Nizamabad,503122,6,8,14
Andhra Pradesh,Nizamabad,503123,110,133,243
Andhra Pradesh,Nizamabad,503124,10,14,24
Andhra Pradesh,Nizamabad,503125,1,6,7
Andhra Pradesh,Nizamabad,503144,58,89,147
Andhra Pradesh,Nizamabad,503145,13,36,49
Andhra Pradesh,Nizamabad,503164,166,241,407
Andhra Pradesh,Nizamabad,503165,27,40,67
Andhra Pradesh,Nizamabad,503174,3,3,6
Andhra Pradesh,Nizamabad,503175,400,613,1013
Andhra Pradesh,Nizamabad,503180,0,4,4
Andhra Pradesh,Nizamabad,503185,19,72,91
Andhra Pradesh,Nizamabad,503186,133,273,406
Andhra Pradesh,Nizamabad,503187,11,56,67
Andhra Pradesh,Nizamabad,503188,2,1,3
Andhra Pradesh,Nizamabad,503201,14,29,43
Andhra Pradesh,Nizamabad,503202,71,129,200
Andhra Pradesh,Nizamabad,503206,20,68,88
Andhra Pradesh,Nizamabad,503207,0,7,7
Andhra Pradesh,Nizamabad,503212,102,244,346
Andhra Pradesh,Nizamabad,503213,115,223,338
Andhra Pradesh,Nizamabad,503217,8,10,18
Andhra Pradesh,Nizamabad,503218,6,7,13
Andhra Pradesh,Nizamabad,503219,2,4,6
Andhra Pradesh,Nizamabad,503224,183,454,637
Andhra Pradesh,Nizamabad,503225,38,19,57
Andhra Pradesh,Nizamabad,503230,307,668,975
Andhra Pradesh,Nizamabad,503235,39,69,108
Andhra Pradesh,Nizamabad,503245,183,247,430
Andhra Pradesh,Nizamabad,503246,189,321,510
Andhra Pradesh,Nizamabad,503301,3,10,13
Andhra Pradesh,Nizamabad,503302,3,12,15
Andhra Pradesh,Nizamabad,503305,39,92,131
Andhra Pradesh,Nizamabad,503306,1,23,24
Andhra Pradesh,Nizamabad,503307,124,238,362
Andhra Pradesh,Nizamabad,503308,64,106,170
Andhra Pradesh,Nizamabad,503309,9,27,36
Andhra Pradesh,Nizamabad,503310,2,38,40
Andhra Pradesh,Nizamabad,503311,8,4,12
Andhra Pradesh,Nizamabad,503321,9,27,36
Andhra Pradesh,Nizamabad,505307,25,40,65
Andhra Pradesh,Nizamabad,505325,1,2,3
Andhra Pradesh,Palnadu,522016,20,7,27
Andhra Pradesh,Palnadu,522020,53,23,76
Andhra Pradesh,Palnadu,522233,184,57,241
Andhra Pradesh,Palnadu,522234,30,21,51
Andhra Pradesh,Palnadu,522315,69,30,99
Andhra Pradesh,Palnadu,522402,195,157,352
Andhra Pradesh,Palnadu,522403,334,239,573
Andhra Pradesh,Palnadu,522408,43,22,65
Andhra Pradesh,Palnadu,522409,85,72,157
Andhra Pradesh,Palnadu,522410,248,155,403
Andhra Pradesh,Palnadu,522411,124,67,191
Andhra Pradesh,Palnadu,522412,127,50,177
Andhra Pradesh,Palnadu,522413,362,277,639
Andhra Pradesh,Palnadu,522414,257,292,549
Andhra Pradesh,Palnadu,522415,212,103,315
Andhra Pradesh,Palnadu,522421,95,42,137
Andhra Pradesh,Palnadu,522426,347,261,608
Andhra Pradesh,Palnadu,522435,13,8,21
Andhra Pradesh,Palnadu,522436,42,14,56
Andhra Pradesh,Palnadu,522437,128,102,230
Andhra Pradesh,Palnadu,522438,5,2,7
Andhra Pradesh,Palnadu,522439,9,2,11
Andhra Pradesh,Palnadu,522529,8,8,16
Andhra Pradesh,Palnadu,522549,38,24,62
Andhra Pradesh,Palnadu,522601,734,521,1255
Andhra Pradesh,Palnadu,522603,76,38,114
Andhra Pradesh,Palnadu,522611,16,11,27
Andhra Pradesh,Palnadu,522612,163,84,247
Andhra Pradesh,Palnadu,522613,140,73,213
Andhra Pradesh,Palnadu,522614,252,168,420
Andhra Pradesh,Palnadu,522615,312,145,457
Andhra Pradesh,Palnadu,522616,409,336,745
Andhra Pradesh,Palnadu,522617,22,11,33
Andhra Pradesh,Palnadu,522619,23,12,35
Andhra Pradesh,Palnadu,522626,10,15,25
Andhra Pradesh,Palnadu,522646,108,52,160
Andhra Pradesh,Palnadu,522647,471,392,863
Andhra Pradesh,Palnadu,522649,43,37,80
Andhra Pradesh,Palnadu,522657,69,49,118
Andhra Pradesh,Palnadu,522658,14,9,23
Andhra Pradesh,Palnadu,522659,32,23,55
Andhra Pradesh,Palnadu,522660,37,12,49
Andhra Pradesh,Palnadu,522661,9,7,16
Andhra Pradesh,Palnadu,522663,39,16,55
Andhra Pradesh,Parvathipuram Manyam,532122,2,5,7
Andhra Pradesh,Parvathipuram Manyam,532440,231,250,481
Andhra Pradesh,Parvathipuram Manyam,532443,279,270,549
Andhra Pradesh,Parvathipuram Manyam,532455,255,230,485
Andhra Pradesh,Parvathipuram Manyam,532456,87,78,165
Andhra Pradesh,Parvathipuram Manyam,532458,29,50,79
Andhra Pradesh,Parvathipuram Manyam,532460,537,537,1074
Andhra Pradesh,Parvathipuram Manyam,532462,125,125,250
Andhra Pradesh,Parvathipuram Manyam,535463,113,99,212
Andhra Pradesh,Parvathipuram Manyam,535501,187,230,417
Andhra Pradesh,Parvathipuram Manyam,535502,4,3,7
Andhra Pradesh,Parvathipuram Manyam,535521,235,296,531
Andhra Pradesh,Parvathipuram Manyam,535522,112,164,276
Andhra Pradesh,Parvathipuram Manyam,535523,524,636,1160
Andhra Pradesh,Parvathipuram Manyam,535524,247,256,503
Andhra Pradesh,Parvathipuram Manyam,535525,132,179,311
Andhra Pradesh,Parvathipuram Manyam,535526,287,426,713
Andhra Pradesh,Parvathipuram Manyam,535527,92,140,232
Andhra Pradesh,Parvathipuram Manyam,535534,483,456,939
Andhra Pradesh,Parvathipuram Manyam,535546,129,157,286
Andhra Pradesh,Parvathipuram Manyam,535547,261,262,523
Andhra Pradesh,Parvathipuram Manyam,535557,48,52,100
Andhra Pradesh,Parvathipuram Manyam,535558,7,13,20
Andhra Pradesh,Parvathipuram Manyam,535573,3,3,6
Andhra Pradesh,Parvathipuram Manyam,535591,324,288,612
Andhra Pradesh,Parvathipuram Manyam,535592,119,92,211
Andhra Pradesh,Parvathipuram Manyam,535593,238,243,481
Andhra Pradesh,Prakasam,523001,5780,2844,8624
Andhra Pradesh,Prakasam,523002,1129,532,1661
Andhra Pradesh,Prakasam,523101,2849,1766,4615
Andhra Pradesh,Prakasam,523104,426,260,686
Andhra Pradesh,Prakasam,523105,3538,2365,5903
Andhra Pradesh,Prakasam,523108,1860,935,2795
Andhra Pradesh,Prakasam,523109,1139,769,1908
Andhra Pradesh,Prakasam,523110,589,331,920
Andhra Pradesh,Prakasam,523111,1248,873,2121
Andhra Pradesh,Prakasam,523112,1459,801,2260
Andhra Pradesh,Prakasam,523113,1079,1011,2090
Andhra Pradesh,Prakasam,523114,664,629,1293
Andhra Pradesh,Prakasam,523115,711,438,1149
Andhra Pradesh,Prakasam,523116,1061,749,1810
Andhra Pradesh,Prakasam,523117,602,395,997
Andhra Pradesh,Prakasam,523135,666,359,1025
Andhra Pradesh,Prakasam,523155,1607,763,2370
Andhra Pradesh,Prakasam,523157,2560,1289,3849
Andhra Pradesh,Prakasam,523165,710,283,993
Andhra Pradesh,Prakasam,523166,1470,596,2066
Andhra Pradesh,Prakasam,523167,1341,716,2057
Andhra Pradesh,Prakasam,523168,377,233,610
Andhra Pradesh,Prakasam,523169,1664,1052,2716
Andhra Pradesh,Prakasam,523170,481,224,705
Andhra Pradesh,Prakasam,523171,290,184,474
Andhra Pradesh,Prakasam,523180,735,354,1089
Andhra Pradesh,Prakasam,523181,311,138,449
Andhra Pradesh,Prakasam,523182,653,357,1010
Andhra Pradesh,Prakasam,523183,853,379,1232
Andhra Pradesh,Prakasam,523184,405,168,573
Andhra Pradesh,Prakasam,523185,267,141,408
Andhra Pradesh,Prakasam,523186,1260,819,2079
Andhra Pradesh,Prakasam,523187,1481,714,2195
Andhra Pradesh,Prakasam,523190,933,547,1480
Andhra Pradesh,Prakasam,523201,3163,1552,4715
Andhra Pradesh,Prakasam,523211,1349,753,2102
Andhra Pradesh,Prakasam,523212,1290,657,1947
Andhra Pradesh,Prakasam,523213,545,388,933
Andhra Pradesh,Prakasam,523214,1,1,2
Andhra Pradesh,Prakasam,523223,434,298,732
Andhra Pradesh,Prakasam,523224,972,483,1455
Andhra Pradesh,Prakasam,523225,1942,1037,2979
Andhra Pradesh,Prakasam,523226,2306,1302,3608
Andhra Pradesh,Prakasam,523227,587,309,896
Andhra Pradesh,Prakasam,523228,501,231,732
Andhra Pradesh,Prakasam,523230,2392,1359,3751
Andhra Pradesh,Prakasam,523240,2925,1697,4622
Andhra Pradesh,Prakasam,523241,1622,806,2428
Andhra Pradesh,Prakasam,523245,673,411,1084
Andhra Pradesh,Prakasam,523246,794,329,1123
Andhra Pradesh,Prakasam,523247,3202,1679,4881
Andhra Pradesh,Prakasam,523252,756,403,1159
Andhra Pradesh,Prakasam,523253,1784,1123,2907
Andhra Pradesh,Prakasam,523254,846,495,1341
Andhra Pradesh,Prakasam,523260,1359,824,2183
Andhra Pradesh,Prakasam,523261,1065,616,1681
Andhra Pradesh,Prakasam,523262,656,364,1020
Andhra Pradesh,Prakasam,523263,935,483,1418
Andhra Pradesh,Prakasam,523264,1636,834,2470
Andhra Pradesh,Prakasam,523265,1707,937,2644
Andhra Pradesh,Prakasam,523270,1473,943,2416
Andhra Pradesh,Prakasam,523271,1058,691,1749
Andhra Pradesh,Prakasam,523272,1412,748,2160
Andhra Pradesh,Prakasam,523273,379,242,621
Andhra Pradesh,Prakasam,523274,1333,959,2292
Andhra Pradesh,Prakasam,523279,472,358,830
Andhra Pradesh,Prakasam,523280,812,440,1252
Andhra Pradesh,Prakasam,523281,1101,916,2017
Andhra Pradesh,Prakasam,523286,1320,682,2002
Andhra Pradesh,Prakasam,523291,541,290,831
Andhra Pradesh,Prakasam,523292,1945,1237,3182
Andhra Pradesh,Prakasam,523301,2585,1429,4014
Andhra Pradesh,Prakasam,523302,1659,981,2640
Andhra Pradesh,Prakasam,523303,2003,1087,3090
Andhra Pradesh,Prakasam,523304,2787,1182,3969
Andhra Pradesh,Prakasam,523305,1849,968,2817
Andhra Pradesh,Prakasam,523315,1425,602,2027
Andhra Pradesh,Prakasam,523316,2965,1641,4606
Andhra Pradesh,Prakasam,523320,1739,1008,2747
Andhra Pradesh,Prakasam,523326,2734,1363,4097
Andhra Pradesh,Prakasam,523327,4004,2245,6249
Andhra Pradesh,Prakasam,523328,2012,1184,3196
Andhra Pradesh,Prakasam,523329,1745,1175,2920
Andhra Pradesh,Prakasam,523330,1593,853,2446
Andhra Pradesh,Prakasam,523331,2803,1711,4514
Andhra Pradesh,Prakasam,523332,755,412,1167
Andhra Pradesh,Prakasam,523333,1993,1060,3053
Andhra Pradesh,Prakasam,523334,1237,627,1864
Andhra Pradesh,Prakasam,523335,521,278,799
Andhra Pradesh,Prakasam,523336,480,250,730
Andhra Pradesh,Prakasam,523346,1123,558,1681
Andhra Pradesh,Prakasam,523356,524,315,839
Andhra Pradesh,Prakasam,523357,2774,1261,4035
Andhra Pradesh,Prakasam,523367,1147,493,1640
Andhra Pradesh,Prakasam,523368,789,404,1193
Andhra Pradesh,Prakasam,523369,378,160,538
Andhra Pradesh,Prakasam,523370,597,246,843
Andhra Pradesh,Prakasam,523371,1121,519,1640
Andhra Pradesh,Prakasam,523372,681,335,1016
Andhra Pradesh,Prakasam,523373,1024,528,1552
Andhra Pradesh,Rangareddi,500005,388,1150,1538
Andhra Pradesh,Rangareddi,500008,28,75,103
Andhra Pradesh,Rangareddi,500014,101,361,462
Andhra Pradesh,Rangareddi,500015,197,786,983
Andhra Pradesh,Rangareddi,500018,1617,4577,6194
Andhra Pradesh,Rangareddi,500019,223,513,736
Andhra Pradesh,Rangareddi,500030,83,188,271
Andhra Pradesh,Rangareddi,500032,129,276,405
Andhra Pradesh,Rangareddi,500035,560,2338,2898
Andhra Pradesh,Rangareddi,500037,482,1440,1922
Andhra Pradesh,Rangareddi,500039,488,1612,2100
Andhra Pradesh,Rangareddi,500043,50,146,196
Andhra Pradesh,Rangareddi,500046,11,15,26
Andhra Pradesh,Rangareddi,500047,416,1162,1578
Andhra Pradesh,Rangareddi,500048,233,709,942
Andhra Pradesh,Rangareddi,500051,25,31,56
Andhra Pradesh,Rangareddi,500052,269,827,1096
Andhra Pradesh,Rangareddi,500055,868,2636,3504
Andhra Pradesh,Rangareddi,500058,160,562,722
Andhra Pradesh,Rangareddi,500060,256,1022,1278
Andhra Pradesh,Rangareddi,500068,291,1160,1451
Andhra Pradesh,Rangareddi,500070,418,1279,1697
Andhra Pradesh,Rangareddi,500074,339,1152,1491
Andhra Pradesh,Rangareddi,500075,65,88,153
Andhra Pradesh,Rangareddi,500076,350,1247,1597
Andhra Pradesh,Rangareddi,500077,129,290,419
Andhra Pradesh,Rangareddi,500078,190,831,1021
Andhra Pradesh,Rangareddi,500079,471,1656,2127
Andhra Pradesh,Rangareddi,500083,118,362,480
Andhra Pradesh,Rangareddi,500084,103,263,366
Andhra Pradesh,Rangareddi,500086,79,169,248
Andhra Pradesh,Rangareddi,500087,279,1175,1454
Andhra Pradesh,Rangareddi,500088,20,58,78
Andhra Pradesh,Rangareddi,500089,54,137,191
Andhra Pradesh,Rangareddi,500090,264,472,736
Andhra Pradesh,Rangareddi,500092,292,738,1030
Andhra Pradesh,Rangareddi,500097,324,1007,1331
Andhra Pradesh,Rangareddi,500098,109,287,396
Andhra Pradesh,Rangareddi,501101,30,56,86
Andhra Pradesh,Rangareddi,501106,0,2,2
Andhra Pradesh,Rangareddi,501111,13,62,75
Andhra Pradesh,Rangareddi,501121,0,1,1
Andhra Pradesh,Rangareddi,501141,223,619,842
Andhra Pradesh,Rangareddi,501142,0,1,1
Andhra Pradesh,Rangareddi,501143,0,1,1
Andhra Pradesh,Rangareddi,501202,2,3,5
Andhra Pradesh,Rangareddi,501203,0,1,1
Andhra Pradesh,Rangareddi,501218,16,25,41
Andhra Pradesh,Rangareddi,501301,260,928,1188
Andhra Pradesh,Rangareddi,501359,396,925,1321
Andhra Pradesh,Rangareddi,501401,116,274,390
Andhra Pradesh,Rangareddi,501501,10,44,54
Andhra Pradesh,Rangareddi,501502,17,70,87
Andhra Pradesh,Rangareddi,501503,250,524,774
Andhra Pradesh,Rangareddi,501504,31,64,95
Andhra Pradesh,Rangareddi,501505,433,1484,1917
Andhra Pradesh,Rangareddi,501506,16,44,60
Andhra Pradesh,Rangareddi,501508,11,46,57
Andhra Pradesh,Rangareddi,501509,47,115,162
Andhra Pradesh,Rangareddi,501510,299,1373,1672
Andhra Pradesh,Rangareddi,501511,72,277,349
Andhra Pradesh,Rangareddi,501512,41,70,111
Andhra Pradesh,Rangareddi,509217,27,104,131
Andhra Pradesh,Rangareddi,509325,130,383,513
Andhra Pradesh,Rangareddi,509335,0,5,5
Andhra Pradesh,Rangareddi,509337,344,1023,1367
Andhra Pradesh,Rangareddi,509339,0,9,9
Andhra Pradesh,Rangareddi,509340,0,1,1
Andhra Pradesh,Rangareddi,509358,0,1,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,523101,8,3,11
Andhra Pradesh,Sri Potti Sriramulu Nellore,523105,276,182,458
Andhra Pradesh,Sri Potti Sriramulu Nellore,523113,72,36,108
Andhra Pradesh,Sri Potti Sriramulu Nellore,523114,21,7,28
Andhra Pradesh,Sri Potti Sriramulu Nellore,523115,21,7,28
Andhra Pradesh,Sri Potti Sriramulu Nellore,523116,44,23,67
Andhra Pradesh,Sri Potti Sriramulu Nellore,523281,63,29,92
Andhra Pradesh,Sri Potti Sriramulu Nellore,523291,19,8,27
Andhra Pradesh,Sri Potti Sriramulu Nellore,523292,199,71,270
Andhra Pradesh,Sri Potti Sriramulu Nellore,524001,265,181,446
Andhra Pradesh,Sri Potti Sriramulu Nellore,524002,682,414,1096
Andhra Pradesh,Sri Potti Sriramulu Nellore,524003,263,199,462
Andhra Pradesh,Sri Potti Sriramulu Nellore,524004,688,428,1116
Andhra Pradesh,Sri Potti Sriramulu Nellore,524005,58,38,96
Andhra Pradesh,Sri Potti Sriramulu Nellore,524137,263,154,417
Andhra Pradesh,Sri Potti Sriramulu Nellore,524142,59,19,78
Andhra Pradesh,Sri Potti Sriramulu Nellore,524152,24,13,37
Andhra Pradesh,Sri Potti Sriramulu Nellore,524201,490,243,733
Andhra Pradesh,Sri Potti Sriramulu Nellore,524203,27,7,34
Andhra Pradesh,Sri Potti Sriramulu Nellore,524218,7,2,9
Andhra Pradesh,Sri Potti Sriramulu Nellore,524221,15,5,20
Andhra Pradesh,Sri Potti Sriramulu Nellore,524222,27,10,37
Andhra Pradesh,Sri Potti Sriramulu Nellore,524223,88,49,137
Andhra Pradesh,Sri Potti Sriramulu Nellore,524224,41,18,59
Andhra Pradesh,Sri Potti Sriramulu Nellore,524225,18,6,24
Andhra Pradesh,Sri Potti Sriramulu Nellore,524226,63,29,92
Andhra Pradesh,Sri Potti Sriramulu Nellore,524227,17,4,21
Andhra Pradesh,Sri Potti Sriramulu Nellore,524228,180,107,287
Andhra Pradesh,Sri Potti Sriramulu Nellore,524230,43,22,65
Andhra Pradesh,Sri Potti Sriramulu Nellore,524234,12,3,15
Andhra Pradesh,Sri Potti Sriramulu Nellore,524236,31,30,61
Andhra Pradesh,Sri Potti Sriramulu Nellore,524239,14,9,23
Andhra Pradesh,Sri Potti Sriramulu Nellore,524240,18,5,23
Andhra Pradesh,Sri Potti Sriramulu Nellore,524301,41,6,47
Andhra Pradesh,Sri Potti Sriramulu Nellore,524302,115,26,141
Andhra Pradesh,Sri Potti Sriramulu Nellore,524303,91,46,137
Andhra Pradesh,Sri Potti Sriramulu Nellore,524304,23,2,25
Andhra Pradesh,Sri Potti Sriramulu Nellore,524305,233,115,348
Andhra Pradesh,Sri Potti Sriramulu Nellore,524306,16,14,30
Andhra Pradesh,Sri Potti Sriramulu Nellore,524307,62,30,92
Andhra Pradesh,Sri Potti Sriramulu Nellore,524308,95,72,167
Andhra Pradesh,Sri Potti Sriramulu Nellore,524309,38,16,54
Andhra Pradesh,Sri Potti Sriramulu Nellore,524310,49,31,80
Andhra Pradesh,Sri Potti Sriramulu Nellore,524311,68,14,82
Andhra Pradesh,Sri Potti Sriramulu Nellore,524312,25,6,31
Andhra Pradesh,Sri Potti Sriramulu Nellore,524313,103,35,138
Andhra Pradesh,Sri Potti Sriramulu Nellore,524314,160,83,243
Andhra Pradesh,Sri Potti Sriramulu Nellore,524315,184,74,258
Andhra Pradesh,Sri Potti Sriramulu Nellore,524316,47,19,66
Andhra Pradesh,Sri Potti Sriramulu Nellore,524317,39,7,46
Andhra Pradesh,Sri Potti Sriramulu Nellore,524318,66,43,109
Andhra Pradesh,Sri Potti Sriramulu Nellore,524319,2,2,4
Andhra Pradesh,Sri Potti Sriramulu Nellore,524320,120,49,169
Andhra Pradesh,Sri Potti Sriramulu Nellore,524321,28,6,34
Andhra Pradesh,Sri Potti Sriramulu Nellore,524322,102,60,162
Andhra Pradesh,Sri Potti Sriramulu Nellore,524323,16,8,24
Andhra Pradesh,Sri Potti Sriramulu Nellore,524341,21,5,26
Andhra Pradesh,Sri Potti Sriramulu Nellore,524342,3,2,5
Andhra Pradesh,Sri Potti Sriramulu Nellore,524343,170,80,250
Andhra Pradesh,Sri Potti Sriramulu Nellore,524344,113,40,153
Andhra Pradesh,Sri Potti Sriramulu Nellore,524345,177,99,276
Andhra Pradesh,Sri Potti Sriramulu Nellore,524346,30,9,39
Andhra Pradesh,Sri Potti Sriramulu Nellore,524347,6,0,6
Andhra Pradesh,Sri Potti Sriramulu Nellore,524366,30,5,35
Andhra Pradesh,Sri Potti Sriramulu Nellore,524405,102,23,125
Andhra Pradesh,Sri Potti Sriramulu Nellore,524407,46,12,58
Andhra Pradesh,Sri Potti Sriramulu Nellore,524408,71,52,123
Andhra Pradesh,Sri Potti Sriramulu Nellore,524409,40,6,46
Andhra Pradesh,Sri Potti Sriramulu Nellore,524411,1,0,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,524414,19,9,28
Andhra Pradesh,Sri Sathya Sai,515101,105,75,180
